epoch,train_loss,test_loss,test_acc,f1,precision,recall,roc_auc,cm_path,roc_path,epoch_time_sec
28,0.367138,0.360233,0.963641,0.962259,0.962528,0.961994,0.977337,/home/erensr/ERTECnet/kpcam/cm/confusion_matrix_epoch28.png,/home/erensr/ERTECnet/kpcam/roc/roc_epoch28.png,125.986
29,0.364108,0.362113,0.961301,0.959592,0.962962,0.956759,0.981665,/home/erensr/ERTECnet/kpcam/cm/confusion_matrix_epoch29.png,/home/erensr/ERTECnet/kpcam/roc/roc_epoch29.png,118.564
30,0.359258,0.361926,0.961755,0.960190,0.961859,0.958672,0.981129,/home/erensr/ERTECnet/kpcam/cm/confusion_matrix_epoch30.png,/home/erensr/ERTECnet/kpcam/roc/roc_epoch30.png,125.400
31,0.336635,0.363896,0.960187,0.958829,0.957469,0.960336,0.984546,/home/erensr/ERTECnet/kpcam/cm/confusion_matrix_epoch31.png,/home/erensr/ERTECnet/kpcam/roc/roc_epoch31.png,125.280
32,0.320233,0.357335,0.965777,0.964444,0.965155,0.963762,0.987029,/home/erensr/ERTECnet/kpcam/cm/confusion_matrix_epoch32.png,/home/erensr/ERTECnet/kpcam/roc/roc_epoch32.png,125.140
33,0.337422,0.358190,0.966323,0.964992,0.965970,0.964068,0.987016,/home/erensr/ERTECnet/kpcam/cm/confusion_matrix_epoch33.png,/home/erensr/ERTECnet/kpcam/roc/roc_epoch33.png,124.977
34,0.349211,0.354945,0.965096,0.963621,0.965983,0.961542,0.987658,/home/erensr/ERTECnet/kpcam/cm/confusion_matrix_epoch34.png,/home/erensr/ERTECnet/kpcam/roc/roc_epoch34.png,124.865
35,0.349363,0.356416,0.965709,0.964419,0.964507,0.964332,0.987450,/home/erensr/ERTECnet/kpcam/cm/confusion_matrix_epoch35.png,/home/erensr/ERTECnet/kpcam/roc/roc_epoch35.png,113.157
36,0.349176,0.354780,0.967436,0.966036,0.968813,0.963634,0.985598,/home/erensr/ERTECnet/kpcam/cm/confusion_matrix_epoch36.png,/home/erensr/ERTECnet/kpcam/roc/roc_epoch36.png,125.831
37,0.352742,0.353842,0.968163,0.966912,0.967797,0.966072,0.986774,/home/erensr/ERTECnet/kpcam/cm/confusion_matrix_epoch37.png,/home/erensr/ERTECnet/kpcam/roc/roc_epoch37.png,125.661
38,0.348901,0.356136,0.968891,0.967624,0.969210,0.966173,0.985644,/home/erensr/ERTECnet/kpcam/cm/confusion_matrix_epoch38.png,/home/erensr/ERTECnet/kpcam/roc/roc_epoch38.png,111.444
39,0.348076,0.354526,0.968572,0.967267,0.969276,0.965467,0.979314,/home/erensr/ERTECnet/kpcam/cm/confusion_matrix_epoch39.png,/home/erensr/ERTECnet/kpcam/roc/roc_epoch39.png,99.642
40,0.353201,0.352866,0.967891,0.966589,0.968083,0.965216,0.981093,/home/erensr/ERTECnet/kpcam/cm/confusion_matrix_epoch40.png,/home/erensr/ERTECnet/kpcam/roc/roc_epoch40.png,99.581
